csv,velocity_mps,peak_accel_mps2,dt_s
250922_compression_actuator\10_7_1.csv,179.88007994670218,66.77393659901028,5e-08
250922_compression_actuator\10_7_2.csv,179.73040439340986,65.6522767264963,5e-08
250922_compression_actuator\10_7_3.csv,177.7924108980163,66.84577676632627,5e-08
250922_compression_actuator\12_2_1.csv,181.71111298056698,76.0415917701788,5e-08
250922_compression_actuator\12_2_2.csv,178.51239669421486,78.01569559972822,5e-08
250922_compression_actuator\12_2_3.csv,177.12177121771217,77.21318783225283,5e-08
250922_compression_actuator\17_0_1.csv,180.36072144288573,102.10208062060566,5e-08
250922_compression_actuator\17_0_2.csv,176.8607221812822,101.49801263977709,5e-08
250922_compression_actuator\17_0_3.csv,180.31555221637865,101.73362219059125,5e-08
250922_compression_actuator\22_0_1.csv,177.88026023223253,115.060575731357,5e-08
250922_compression_actuator\22_0_2.csv,185.43956043956044,114.08448740936825,5e-08
250922_compression_actuator\22_0_3.csv,182.38621970784428,113.90612437122068,5e-08
250922_compression_actuator\24_0_1.csv,184.86819582334815,114.5236751230701,5e-08
250922_compression_actuator\24_0_2.csv,184.8365565634092,113.30419589744072,5e-08
250922_compression_actuator\24_0_3.csv,186.28719275549804,112.64208107607865,5e-08
250922_compression_actuator\28_0_1.csv,195.26306273729887,100.35703774852607,5e-08
250922_compression_actuator\28_0_2.csv,196.0606335663066,101.1595366349028,5e-08
250922_compression_actuator\28_0_3.csv,194.94584837545122,102.53542248430125,5e-08
250922_compression_actuator\28_0_4.csv,223.90380429148956,76.77740973486294,5e-08
250922_compression_actuator\33_0_2.csv,216.86746987951807,78.15916399320885,5e-08
250922_compression_actuator\33_0_3.csv,222.33659289758106,79.70565829658368,5e-08
250922_compression_actuator\55_0_1.csv,170.27985810011825,26.544323308146506,5e-08
250922_compression_actuator\55_0_2.csv,169.3453547628381,26.206253086079283,5e-08
250922_compression_actuator\55_0_3.csv,170.69701280227596,29.857490437113317,5e-08
250922_compression_actuator\62_0_1.csv,169.49152542372877,26.952766494097617,5.0000000000000004e-08
250922_compression_actuator\62_0_2.csv,171.8240394558905,26.057438251474473,5.0000000000000004e-08
250922_compression_actuator\62_0_3.csv,174.05318291700237,26.150651222858272,5.0000000000000004e-08
250922_compression_actuator\6_8_1.csv,173.2018282415203,39.73120869455316,5e-08
250922_compression_actuator\6_8_2.csv,180.48128342245985,39.468834347632715,5e-08
250922_compression_actuator\6_8_3.csv,177.733892865959,39.328436095910796,5e-08
250922_compression_actuator\7_3_1.csv,178.73396772858914,41.64798552091095,5e-08
250922_compression_actuator\7_3_2.csv,181.29931173409432,41.64811607878273,5e-08
250922_compression_actuator\7_3_3.csv,179.65565998502868,41.7499495721344,5e-08
250922_compression_actuator\8_7_1.csv,175.49561260968474,52.7031211328546,5e-08
250922_compression_actuator\8_7_2.csv,176.22477146637087,53.24997662308491,4.750067289571621e-08
250922_compression_actuator\8_7_3.csv,181.34497523297793,53.075082277560064,5e-08
250922_compression_actuator\8_9_1.csv,179.08962772572755,56.155878176049974,5e-08
250922_compression_actuator\8_9_2.csv,177.98286090969015,55.775597906454564,5e-08
250922_compression_actuator\8_9_3.csv,176.35532331809276,55.19020983591482,5e-08
