x-axis,2,3
second,Volt,Volt
-585.00000E-06,+41.45728471E-03,+53.54397744E-03
-584.95250E-06,+34.42210890E-03,+53.54397744E-03
-584.90500E-06,+30.40200844E-03,+53.54397744E-03
-584.85750E-06,+30.40200844E-03,+53.54397744E-03
-584.81000E-06,+30.40200844E-03,+53.54397744E-03
-584.76250E-06,+30.40200844E-03,+53.54397744E-03
-584.71500E-06,+30.40200844E-03,+65.60427882E-03
-584.66750E-06,+30.40200844E-03,+58.56910301E-03
-584.61999E-06,+41.45728471E-03,+53.54397744E-03
-584.57249E-06,+46.48241028E-03,+53.54397744E-03
-584.52499E-06,+46.48241028E-03,+53.54397744E-03
-584.47749E-06,+34.42210890E-03,+65.60427882E-03
-584.42999E-06,+30.40200844E-03,+58.56910301E-03
-584.38249E-06,+30.40200844E-03,+53.54397744E-03
-584.33499E-06,+30.40200844E-03,+53.54397744E-03
-584.28749E-06,+30.40200844E-03,+65.60427882E-03
-584.23999E-06,+30.40200844E-03,+58.56910301E-03
-584.19249E-06,+30.40200844E-03,+53.54397744E-03
-584.14499E-06,+30.40200844E-03,+53.54397744E-03
-584.09749E-06,+41.45728471E-03,+53.54397744E-03
-584.04999E-06,+46.48241028E-03,+53.54397744E-03
-584.00249E-06,+46.48241028E-03,+53.54397744E-03
-583.95499E-06,+46.48241028E-03,+53.54397744E-03
-583.90748E-06,+46.48241028E-03,+65.60427882E-03
-583.85998E-06,+34.42210890E-03,+58.56910301E-03
-583.81248E-06,+30.40200844E-03,+53.54397744E-03
-583.76498E-06,+30.40200844E-03,+53.54397744E-03
-583.71748E-06,+30.40200844E-03,+53.54397744E-03
-583.66998E-06,+30.40200844E-03,+53.54397744E-03
-583.62248E-06,+30.40200844E-03,+53.54397744E-03
-583.57498E-06,+41.45728471E-03,+53.54397744E-03
-583.52748E-06,+46.48241028E-03,+53.54397744E-03
-583.47998E-06,+34.42210890E-03,+53.54397744E-03
-583.43248E-06,+41.45728471E-03,+53.54397744E-03
-583.38498E-06,+34.42210890E-03,+53.54397744E-03
-583.33748E-06,+30.40200844E-03,+53.54397744E-03
-583.28998E-06,+30.40200844E-03,+53.54397744E-03
-583.24248E-06,+30.40200844E-03,+65.60427882E-03
-583.19497E-06,+30.40200844E-03,+58.56910301E-03
-583.14747E-06,+30.40200844E-03,+53.54397744E-03
-583.09997E-06,+41.45728471E-03,+53.54397744E-03
-583.05247E-06,+46.48241028E-03,+53.54397744E-03
-583.00497E-06,+34.42210890E-03,+65.60427882E-03
-582.95747E-06,+30.40200844E-03,+58.56910301E-03
-582.90997E-06,+30.40200844E-03,+53.54397744E-03
-582.86247E-06,+41.45728471E-03,+53.54397744E-03
-582.81497E-06,+46.48241028E-03,+65.60427882E-03
-582.76747E-06,+34.42210890E-03,+58.56910301E-03
-582.71997E-06,+30.40200844E-03,+53.54397744E-03
-582.67247E-06,+30.40200844E-03,+53.54397744E-03
-582.62497E-06,+41.45728471E-03,+65.60427882E-03
-582.57747E-06,+34.42210890E-03,+58.56910301E-03
-582.52997E-06,+30.40200844E-03,+53.54397744E-03
-582.48246E-06,+30.40200844E-03,+53.54397744E-03
-582.43496E-06,+41.45728471E-03,+53.54397744E-03
-582.38746E-06,+34.42210890E-03,+53.54397744E-03
-582.33996E-06,+30.40200844E-03,+65.60427882E-03
-582.29246E-06,+41.45728471E-03,+58.56910301E-03
-582.24496E-06,+34.42210890E-03,+53.54397744E-03
-582.19746E-06,+30.40200844E-03,+53.54397744E-03
-582.14996E-06,+30.40200844E-03,+53.54397744E-03
-582.10246E-06,+30.40200844E-03,+53.54397744E-03
-582.05496E-06,+30.40200844E-03,+53.54397744E-03
-582.00746E-06,+30.40200844E-03,+53.54397744E-03
-581.95996E-06,+30.40200844E-03,+53.54397744E-03
-581.91246E-06,+41.45728471E-03,+53.54397744E-03
-581.86496E-06,+34.42210890E-03,+53.54397744E-03
-581.81745E-06,+30.40200844E-03,+53.54397744E-03
-581.76995E-06,+41.45728471E-03,+53.54397744E-03
-581.72245E-06,+46.48241028E-03,+53.54397744E-03
-581.67495E-06,+34.42210890E-03,+53.54397744E-03
-581.62745E-06,+30.40200844E-03,+53.54397744E-03
-581.57995E-06,+30.40200844E-03,+65.60427882E-03
-581.53245E-06,+30.40200844E-03,+69.62437928E-03
-581.48495E-06,+30.40200844E-03,+58.56910301E-03
-581.43745E-06,+30.40200844E-03,+65.60427882E-03
-581.38995E-06,+41.45728471E-03,+58.56910301E-03
-581.34245E-06,+46.48241028E-03,+53.54397744E-03
-581.29495E-06,+34.42210890E-03,+53.54397744E-03
-581.24745E-06,+41.45728471E-03,+53.54397744E-03
-581.19995E-06,+34.42210890E-03,+53.54397744E-03
-581.15245E-06,+30.40200844E-03,+53.54397744E-03
-581.10494E-06,+41.45728471E-03,+53.54397744E-03
-581.05744E-06,+34.42210890E-03,+53.54397744E-03
-581.00994E-06,+30.40200844E-03,+53.54397744E-03
-580.96244E-06,+41.45728471E-03,+53.54397744E-03
-580.91494E-06,+34.42210890E-03,+53.54397744E-03
-580.86744E-06,+30.40200844E-03,+65.60427882E-03
-580.81994E-06,+30.40200844E-03,+58.56910301E-03
-580.77244E-06,+30.40200844E-03,+53.54397744E-03
-580.72494E-06,+30.40200844E-03,+53.54397744E-03
-580.67744E-06,+30.40200844E-03,+53.54397744E-03
-580.62994E-06,+30.40200844E-03,+53.54397744E-03
-580.58244E-06,+30.40200844E-03,+53.54397744E-03
-580.53494E-06,+41.45728471E-03,+53.54397744E-03
-580.48744E-06,+34.42210890E-03,+53.54397744E-03
-580.43994E-06,+41.45728471E-03,+53.54397744E-03
-580.39243E-06,+34.42210890E-03,+53.54397744E-03
-580.34493E-06,+30.40200844E-03,+53.54397744E-03
-580.29743E-06,+30.40200844E-03,+65.60427882E-03
-580.24993E-06,+30.40200844E-03,+58.56910301E-03
-580.20243E-06,+30.40200844E-03,+53.54397744E-03
-580.15493E-06,+30.40200844E-03,+53.54397744E-03
-580.10743E-06,+30.40200844E-03,+53.54397744E-03
-580.05993E-06,+41.45728471E-03,+53.54397744E-03
-580.01243E-06,+34.42210890E-03,+53.54397744E-03
-579.96493E-06,+30.40200844E-03,+53.54397744E-03
-579.91743E-06,+41.45728471E-03,+53.54397744E-03
-579.86993E-06,+34.42210890E-03,+53.54397744E-03
-579.82243E-06,+30.40200844E-03,+65.60427882E-03
-579.77493E-06,+30.40200844E-03,+58.56910301E-03
-579.72743E-06,+30.40200844E-03,+53.54397744E-03
-579.67992E-06,+30.40200844E-03,+53.54397744E-03
-579.63242E-06,+41.45728471E-03,+53.54397744E-03
-579.58492E-06,+34.42210890E-03,+53.54397744E-03
-579.53742E-06,+30.40200844E-03,+53.54397744E-03
-579.48992E-06,+30.40200844E-03,+53.54397744E-03
-579.44242E-06,+30.40200844E-03,+53.54397744E-03
-579.39492E-06,+30.40200844E-03,+53.54397744E-03
-579.34742E-06,+30.40200844E-03,+53.54397744E-03
-579.29992E-06,+41.45728471E-03,+65.60427882E-03
-579.25242E-06,+34.42210890E-03,+58.56910301E-03
-579.20492E-06,+41.45728471E-03,+53.54397744E-03
-579.15742E-06,+46.48241028E-03,+53.54397744E-03
-579.10992E-06,+34.42210890E-03,+65.60427882E-03
-579.06242E-06,+30.40200844E-03,+58.56910301E-03
-579.01492E-06,+30.40200844E-03,+65.60427882E-03
-578.96741E-06,+30.40200844E-03,+58.56910301E-03
-578.91991E-06,+30.40200844E-03,+53.54397744E-03
-578.87241E-06,+30.40200844E-03,+65.60427882E-03
-578.82491E-06,+30.40200844E-03,+58.56910301E-03
-578.77741E-06,+30.40200844E-03,+53.54397744E-03
-578.72991E-06,+30.40200844E-03,+65.60427882E-03
-578.68241E-06,+41.45728471E-03,+58.56910301E-03
-578.63491E-06,+46.48241028E-03,+53.54397744E-03
-578.58741E-06,+46.48241028E-03,+53.54397744E-03
-578.53991E-06,+34.42210890E-03,+53.54397744E-03
-578.49241E-06,+30.40200844E-03,+53.54397744E-03
-578.44491E-06,+30.40200844E-03,+53.54397744E-03
-578.39741E-06,+30.40200844E-03,+53.54397744E-03
-578.34991E-06,+30.40200844E-03,+53.54397744E-03
-578.30241E-06,+41.45728471E-03,+53.54397744E-03
-578.25490E-06,+34.42210890E-03,+53.54397744E-03
-578.20740E-06,+30.40200844E-03,+53.54397744E-03
-578.15990E-06,+30.40200844E-03,+53.54397744E-03
-578.11240E-06,+30.40200844E-03,+53.54397744E-03
-578.06490E-06,+41.45728471E-03,+53.54397744E-03
-578.01740E-06,+46.48241028E-03,+53.54397744E-03
-577.96990E-06,+34.42210890E-03,+53.54397744E-03
-577.92240E-06,+41.45728471E-03,+53.54397744E-03
-577.87490E-06,+34.42210890E-03,+53.54397744E-03
-577.82740E-06,+30.40200844E-03,+53.54397744E-03
-577.77990E-06,+30.40200844E-03,+53.54397744E-03
-577.73240E-06,+30.40200844E-03,+53.54397744E-03
-577.68490E-06,+30.40200844E-03,+53.54397744E-03
-577.63740E-06,+41.45728471E-03,+53.54397744E-03
-577.58990E-06,+34.42210890E-03,+53.54397744E-03
-577.54239E-06,+41.45728471E-03,+53.54397744E-03
-577.49489E-06,+34.42210890E-03,+53.54397744E-03
-577.44739E-06,+30.40200844E-03,+53.54397744E-03
-577.39989E-06,+30.40200844E-03,+53.54397744E-03
-577.35239E-06,+30.40200844E-03,+53.54397744E-03
-577.30489E-06,+30.40200844E-03,+53.54397744E-03
-577.25739E-06,+41.45728471E-03,+53.54397744E-03
-577.20989E-06,+34.42210890E-03,+53.54397744E-03
-577.16239E-06,+41.45728471E-03,+53.54397744E-03
-577.11489E-06,+34.42210890E-03,+53.54397744E-03
-577.06739E-06,+30.40200844E-03,+53.54397744E-03
-577.01989E-06,+41.45728471E-03,+53.54397744E-03
-576.97239E-06,+34.42210890E-03,+53.54397744E-03
-576.92489E-06,+41.45728471E-03,+53.54397744E-03
-576.87738E-06,+46.48241028E-03,+53.54397744E-03
-576.82988E-06,+34.42210890E-03,+53.54397744E-03
-576.78238E-06,+41.45728471E-03,+65.60427882E-03
-576.73488E-06,+34.42210890E-03,+69.62437928E-03
-576.68738E-06,+30.40200844E-03,+58.56910301E-03
-576.63988E-06,+30.40200844E-03,+53.54397744E-03
-576.59238E-06,+30.40200844E-03,+53.54397744E-03
-576.54488E-06,+41.45728471E-03,+53.54397744E-03
-576.49738E-06,+34.42210890E-03,+53.54397744E-03
-576.44988E-06,+30.40200844E-03,+53.54397744E-03
-576.40238E-06,+30.40200844E-03,+65.60427882E-03
-576.35488E-06,+30.40200844E-03,+58.56910301E-03
