x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-970.0000E-06,,,,
-969.8500E-06,,,,
-969.7000E-06,,,,
-969.5500E-06,,,,
-969.4000E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-969.2500E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-969.1000E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-968.9500E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-968.8000E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-968.6500E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-968.5000E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-968.3500E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+28.1344181E-03
-968.2000E-06,-8.6557753E-03,+1.5703538E-03,-147.6733945E-03,+27.8831618E-03
-968.0500E-06,-8.6557753E-03,-3.9572844E-03,-180.3367108E-03,+27.8831618E-03
-967.9000E-06,-8.6557753E-03,-5.4648221E-03,-187.8743991E-03,+29.5163276E-03
-967.7500E-06,-8.6557753E-03,-5.4648221E-03,-152.6985201E-03,+29.8932120E-03
-967.6000E-06,-8.6557753E-03,+1.5703538E-03,-147.6733945E-03,+29.8932120E-03
-967.4500E-06,-8.6557753E-03,-3.9572844E-03,-147.6733945E-03,+29.8932120E-03
-967.3000E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+28.1344181E-03
-967.1500E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+27.8831618E-03
-967.0000E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.5163276E-03
-966.8500E-06,-8.6557753E-03,+1.5703538E-03,-147.6733945E-03,+29.8932120E-03
-966.7000E-06,-8.6557753E-03,-3.9572844E-03,-147.6733945E-03,+29.8932120E-03
-966.5500E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-966.4000E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-966.2500E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-966.1000E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-965.9500E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+28.1344181E-03
-965.8000E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.5163276E-03
-965.6500E-06,-8.6557753E-03,+1.5703538E-03,-147.6733945E-03,+28.1344181E-03
-965.5000E-06,-8.6557753E-03,-3.9572844E-03,-147.6733945E-03,+27.8831618E-03
-965.3500E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.5163276E-03
-965.1999E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-965.0499E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+28.1344181E-03
-964.8999E-06,-15.6909511E-03,-5.4648221E-03,-147.6733945E-03,+29.5163276E-03
-964.7499E-06,-10.1633130E-03,-5.4648221E-03,-147.6733945E-03,+28.1344181E-03
-964.5999E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+27.8831618E-03
-964.4499E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.5163276E-03
-964.2999E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+29.8932120E-03
-964.1499E-06,-8.6557753E-03,+1.5703538E-03,-147.6733945E-03,+28.1344181E-03
-963.9999E-06,-8.6557753E-03,-3.9572844E-03,-147.6733945E-03,+29.5163276E-03
-963.8499E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+28.1344181E-03
-963.6999E-06,-8.6557753E-03,+1.5703538E-03,-147.6733945E-03,+29.5163276E-03
-963.5499E-06,-8.6557753E-03,+2.5753789E-03,-147.6733945E-03,+29.8932120E-03
-963.3999E-06,-8.6557753E-03,-3.9572844E-03,-147.6733945E-03,+28.1344181E-03
-963.2499E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+27.8831618E-03
-963.0999E-06,-8.6557753E-03,-5.4648221E-03,-147.6733945E-03,+27.8831618E-03
-962.9499E-06,-8.6557753E-03,+1.5703538E-03,-147.6733945E-03,+29.5163276E-03
-962.7999E-06,-8.6557753E-03,-3.9572844E-03,-147.6733945E-03,+29.8932120E-03
