angle_deg,angle_folder,mass_g,pretension_N,file,file_path,velocity_mps,peak_accel_mps2,dt_s
90.0,90 deg soliton data,100.0,0.9810000000000001,100g_20260429-174538.h5,90 deg soliton data\100g_20260429-174538.h5,88.14778938628659,1124.4672664325187,2e-07
90.0,90 deg soliton data,100.0,0.9810000000000001,100g_20260429-174541.h5,90 deg soliton data\100g_20260429-174541.h5,87.47596814062071,1054.386461598328,2e-07
90.0,90 deg soliton data,100.0,0.9810000000000001,100g_20260429-174544.h5,90 deg soliton data\100g_20260429-174544.h5,92.89776870351466,1118.9064122527343,2e-07
90.0,90 deg soliton data,100.0,0.9810000000000001,100g_20260429-174547.h5,90 deg soliton data\100g_20260429-174547.h5,87.54208754208754,1204.3836244530835,2e-07
90.0,90 deg soliton data,100.0,0.9810000000000001,100g_20260429-174550.h5,90 deg soliton data\100g_20260429-174550.h5,88.42309827873403,1216.4191645505018,2e-07
90.0,90 deg soliton data,120.0,1.1772,120g_20260429-174828.h5,90 deg soliton data\120g_20260429-174828.h5,90.66325078280671,1208.4437577682008,2e-07
90.0,90 deg soliton data,120.0,1.1772,120g_20260429-174830.h5,90 deg soliton data\120g_20260429-174830.h5,88.50910101431151,1115.1663591288716,2e-07
90.0,90 deg soliton data,120.0,1.1772,120g_20260429-174833.h5,90 deg soliton data\120g_20260429-174833.h5,88.7928631168107,1146.942681875495,2e-07
90.0,90 deg soliton data,120.0,1.1772,120g_20260429-174837.h5,90 deg soliton data\120g_20260429-174837.h5,89.11583659764969,1071.1597946071768,2e-07
90.0,90 deg soliton data,120.0,1.1772,120g_20260429-174841.h5,90 deg soliton data\120g_20260429-174841.h5,91.50984054015227,1111.7773615007,2e-07
90.0,90 deg soliton data,120.0,1.1772,120g_20260429-174845.h5,90 deg soliton data\120g_20260429-174845.h5,91.66127059500683,1094.3133817323478,2e-07
90.0,90 deg soliton data,120.0,1.1772,120g_20260429-174848.h5,90 deg soliton data\120g_20260429-174848.h5,91.25420815127856,1026.4105600495318,2e-07
90.0,90 deg soliton data,120.0,1.1772,120g_20260429-174851.h5,90 deg soliton data\120g_20260429-174851.h5,91.25420815127856,1124.2772236766868,2e-07
90.0,90 deg soliton data,120.0,1.1772,120g_20260429-174854.h5,90 deg soliton data\120g_20260429-174854.h5,91.73387096774194,896.6393324440178,2e-07
90.0,90 deg soliton data,120.0,1.1772,120g_20260429-174856.h5,90 deg soliton data\120g_20260429-174856.h5,91.20847651775486,1097.9122590808042,2e-07
90.0,90 deg soliton data,120.0,1.1772,120g_20260429-174900.h5,90 deg soliton data\120g_20260429-174900.h5,91.48355593853223,1045.9961693279088,2e-07
90.0,90 deg soliton data,200.0,1.9620000000000002,200g_20260429-174939.h5,90 deg soliton data\200g_20260429-174939.h5,88.94784612162256,986.16258368243,2e-07
90.0,90 deg soliton data,200.0,1.9620000000000002,200g_20260429-174943.h5,90 deg soliton data\200g_20260429-174943.h5,93.70403059723448,986.2402696989122,2e-07
90.0,90 deg soliton data,200.0,1.9620000000000002,200g_20260429-174946.h5,90 deg soliton data\200g_20260429-174946.h5,93.44971759700725,976.0942683918438,2e-07
