angle_deg,pretension_N,mass_g,n,mean_velocity,std_velocity,mean_peak_accel,std_peak_accel,sem_velocity,sem_peak_accel
45.0,0.5886,60.0,6,85.76995619264949,1.1392126452031477,526.2924927047827,35.60286243518325,0.4650816148790004,14.534807724783649
45.0,0.7848,80.0,5,85.16654939355689,0.7259425459072629,485.86046276537616,47.79683498771785,0.3246513760815803,21.375394428375486
45.0,0.9810000000000001,100.0,6,85.96277288945764,1.6263748664581503,537.3123188603265,25.37965869078873,0.6639647588849334,10.361202273070823
45.0,1.1772,120.0,6,84.9800018197874,0.37033959840226904,499.2024116891211,31.653175091407675,0.15119050793879993,12.922354618820515
45.0,1.9620000000000002,200.0,6,89.27985180964266,0.970350981556222,433.6812652569841,36.85912207611108,0.39614412937025917,15.047673575571181
90.0,0.5886,60.0,10,90.55575367181015,1.5678208765455428,1179.5214708909082,87.70334296951701,0.49578849330455765,27.73423221945891
90.0,0.7848,80.0,10,87.36709493826302,0.889736143811373,1129.6250816732659,77.27252405354665,0.2813592731019065,24.435717655935427
90.0,0.9810000000000001,100.0,10,88.63226734921919,1.6052943446415222,1136.5943485709022,57.0716028827725,0.5076386444054525,18.047625482619274
90.0,1.1772,120.0,11,90.65331657939308,1.2271811011708988,1085.367171017431,79.44953743329536,0.3700090238544583,23.954936857594248
90.0,1.9620000000000002,200.0,8,92.76687639104037,1.6466836371865579,1017.6341505404184,44.052070622336124,0.5821905831617717,15.574758931181282
135.0,0.5886,60.0,12,92.66134085771422,1.2184287693334752,1553.3247996146401,90.16783947480172,0.3517300889815332,26.029213196511872
135.0,0.7848,80.0,10,92.4169708545822,1.268525382141039,1601.7749918680554,58.93366187157402,0.4011429477301164,18.63646023683955
135.0,0.9810000000000001,100.0,11,91.27177969277001,0.8299782603344464,1660.7158552120288,70.3987045032669,0.2502478612437521,21.226008051312665
135.0,1.1772,120.0,10,90.13704608183468,1.2039917621298215,1709.4989814349906,37.12334786689804,0.3807356252409896,11.739433363015111
135.0,1.9620000000000002,200.0,10,92.54985442890654,2.058134120456872,1688.8610543306509,102.71049896703292,0.6508391550751061,32.47991163481956
