folder,voltage,gain,n,mean_velocity,std_velocity,mean_peak_accel,std_peak_accel,sem_velocity,sem_peak_accel
10V,10.0,2.0,5,219.37590663269802,5.789928316736501,24.22886179185369,0.16827033440734268,2.5893346602147496,0.075252781266288
15V,15.0,2.0,4,223.25546902007082,1.9961673256460855,40.47209778034499,0.09261929608455506,0.9980836628230427,0.04630964804227753
20V,20.0,2.0,5,214.89024566955368,1.670447789980088,53.39378185092181,0.4105432913261471,0.7470469622519538,0.18360054142235294
25V,25.0,2.0,5,216.44105868140497,2.072759542097559,66.48442790643114,0.13074544882231,0.9269662474282957,0.058471142263081
30V,30.0,2.0,5,217.09360381388456,2.471440596552897,72.42724124001647,0.2109536540319992,1.105261835248982,0.09434134210350456
40V,40.0,2.0,5,217.51478151751363,1.7139278374629983,79.92415705015446,0.5403450598246156,0.7664918306192949,0.24164965701480617
45V,45.0,2.0,5,218.38559740708698,3.1715080199473973,81.91977378645376,0.14505698887312232,1.4183415047576278,0.06487145754634642
50V,50.0,2.0,5,214.75617358689132,1.811775887609981,83.5679087405144,0.48094885609274657,0.8102508089381872,0.21508686718482903
5V gain 6,5.0,6.0,5,224.23653194587996,2.92784205712187,12.001007647414905,0.1748213704635106,1.3093707734214646,0.07818249365521672
70V,70.0,2.0,5,215.17718622896035,2.429771601609554,87.73661111824002,0.2836082930913772,1.0866268941994999,0.12683348446700066
