frequency,-17.7010014E-03_magnitude,-13.5050230E-03_magnitude,-147.6733945E-03_magnitude,+29.8932120E-03_magnitude
0.0,1077.0778500345014,602.2486748662998,9576.790998314798,1842.9236459033018
5.0000200000798785,967.0640354947141,538.4005694289724,8608.948606954817,1658.3497513709315
10.000040000159757,677.5274687823958,371.487236455993,6051.409741444056,1170.4086291148406
15.000060000239635,312.6018645594281,164.55646193900643,2797.457923668946,548.6777225357738
20.000080000319514,35.125159135093725,29.323721151196953,235.07218605700837,4.599271430877497
25.000100000399392,196.9751056901465,112.7602970684738,1831.5708469476358,333.11997130780816
30.00012000047927,222.41545817058258,118.02225421783791,2103.9853381209955,388.025572988395
35.00014000055915,134.25979302155577,66.27319506429656,1261.123323296299,230.13979902583478
40.00016000063903,15.281067988382421,10.244387575980369,7.56530721647843,8.210459837701848
45.000180000718906,66.5191530458316,28.31626440027714,973.9917256112602,189.6667687107773
50.000200000798785,101.39968697052657,73.65748574647367,1223.6615687969577,233.98087300864958
55.00022000087866,168.8175388149007,155.63230733115338,761.0521780208381,143.36228742802706
60.00024000095854,267.3205055008915,233.58687567141925,61.21652430918049,12.283638306268148
65.00026000103841,322.7701483136393,263.06387255479467,735.4846806488423,139.2681302972389
70.0002800011183,290.79001592478295,223.51079291517087,943.0552838453259,173.5816221970828
75.00030000119818,176.63162095511385,127.53146792219627,626.2402280269937,107.79385714957799
80.00032000127806,26.820942177717612,13.605923680012042,13.683334935641726,16.002254001421917
85.00034000135793,96.83607610920153,73.50579096841379,542.1054627249298,114.08657029060242
90.00036000143781,148.07657425362908,103.68424914036137,757.7196442013764,144.11868296082747
95.0003800015177,116.72968396379585,74.40704951499839,558.2023318495659,92.86158929221864
100.00040000159757,31.177114039108446,11.6154084380212,86.63879303064309,19.175690064728997
105.00042000167744,68.59585378644643,59.98996841066465,405.42185946842994,97.45578701867409
110.00044000175733,130.1458644847342,99.28445003554305,689.0218764987051,127.24942264562358
115.00046000183721,139.06618058021434,101.13604488254951,683.4063177531926,87.85258315486708
120.00048000191708,105.72710098954788,79.38919358805914,463.63998269072385,22.873358679739752
125.00050000199695,64.2480010935272,65.54445299822146,216.48052637232584,82.3458742901394
130.00052000207683,52.507529676380265,69.41969964364154,211.6835033126494,113.78052541582326
135.00054000215673,53.28299944301693,64.90993396403039,297.74663216898006,85.31928896137546
140.0005600022366,39.547718710674495,42.20091490342331,298.307416652695,25.890839659106746
145.00058000231647,16.565512814539893,29.271907804254656,204.03071220562484,66.07271647720088
150.00060000239637,24.236395955065085,61.37781049647965,140.03199707265904,99.5096286366153
155.00062000247624,51.010137663712555,91.15875455157358,308.520394594116,81.51660978529382
160.0006400025561,68.7889023302283,100.20208106908152,424.4342898767758,28.94686490733654
165.00066000263598,65.70128413060137,90.00447737597644,353.563433259589,48.27307182095847
170.00068000271585,36.92815066733862,86.77348278595652,237.3100226681749,82.859386942916
175.00070000279575,24.03845699756981,116.87808596592589,527.8911557708952,74.63106144364367
180.00072000287562,75.14921604161074,159.54661458690018,843.808982742878,31.380487670514135
185.0007400029555,117.04563579288883,195.39603011599678,943.3076502437656,29.242048078404565
190.0007600030354,141.97343052446857,225.82363089725865,858.5124240066618,63.842985017018904
195.00078000311527,159.75790012753336,254.70560229434776,884.0668344880336,64.64843546336026
