x-axis,1,2,3
second,Volt,Volt,Volt
-614.66500E-06,+1.23429671E-03,+2.77964864E-03,+3.37010046E-03
-614.61000E-06,+1.23429671E-03,+2.77964864E-03,+3.37010046E-03
-614.55500E-06,+731.78415E-06,+2.77964864E-03,+3.37010046E-03
-614.50000E-06,-147.61282E-06,+3.40778934E-03,+3.37010046E-03
-614.44500E-06,+1.23429671E-03,+4.28718631E-03,+3.37010046E-03
-614.39000E-06,+1.23429671E-03,+2.77964864E-03,+2.74195976E-03
-614.33500E-06,+1.23429671E-03,+3.40778934E-03,+1.36005023E-03
-614.28000E-06,+1.23429671E-03,+4.78969887E-03,+1.86256279E-03
-614.22500E-06,+1.23429671E-03,+4.28718631E-03,+2.74195976E-03
-614.17000E-06,+731.78415E-06,+2.77964864E-03,+1.36005023E-03
-614.11500E-06,-147.61282E-06,+2.77964864E-03,+1.36005023E-03
-614.06000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-614.00500E-06,+1.23429671E-03,+3.40778934E-03,+1.36005023E-03
-613.95000E-06,+1.23429671E-03,+4.78969887E-03,+1.36005023E-03
-613.89500E-06,+1.23429671E-03,+4.28718631E-03,+1.36005023E-03
-613.84000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-613.78500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-613.73000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-613.67500E-06,+1.23429671E-03,+2.77964864E-03,+731.90953E-06
-613.62000E-06,+1.23429671E-03,+2.77964864E-03,+355.02511E-06
-613.56500E-06,+731.78415E-06,+2.77964864E-03,+2.74195976E-03
-613.51000E-06,-147.61282E-06,+2.77964864E-03,+1.36005023E-03
-613.45500E-06,+1.23429671E-03,+2.77964864E-03,+1.86256279E-03
-613.40000E-06,+1.23429671E-03,+2.77964864E-03,+3.37010046E-03
-613.34500E-06,+1.23429671E-03,+2.77964864E-03,+2.74195976E-03
-613.29000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-613.23500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-613.18000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-613.12500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-613.07000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-613.01500E-06,+1.86243741E-03,+2.77964864E-03,+1.36005023E-03
-612.96000E-06,+2.74183438E-03,+2.77964864E-03,+1.36005023E-03
-612.90500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-612.85000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-612.79500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-612.74000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-612.68500E-06,+1.23429671E-03,+2.77964864E-03,+731.90953E-06
-612.63000E-06,+1.23429671E-03,+2.77964864E-03,-147.48744E-06
-612.57500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-612.52000E-06,+1.23429671E-03,+3.40778934E-03,+1.36005023E-03
-612.46500E-06,+1.86243741E-03,+4.28718631E-03,+1.36005023E-03
-612.41000E-06,+2.74183438E-03,+3.40778934E-03,+1.36005023E-03
-612.35500E-06,+1.86243741E-03,+4.28718631E-03,+1.36005023E-03
-612.30000E-06,+2.74183438E-03,+3.40778934E-03,+1.36005023E-03
-612.24500E-06,+1.23429671E-03,+4.28718631E-03,+1.36005023E-03
-612.19000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-612.13500E-06,+1.23429671E-03,+3.40778934E-03,+731.90953E-06
-612.08000E-06,+731.78415E-06,+4.28718631E-03,-147.48744E-06
-612.02500E-06,-147.61282E-06,+3.40778934E-03,+731.90953E-06
-611.97000E-06,+1.23429671E-03,+4.28718631E-03,-650.00000E-06
-611.91500E-06,+1.23429671E-03,+3.40778934E-03,-147.48744E-06
-611.86000E-06,+1.23429671E-03,+4.78969887E-03,+1.36005023E-03
-611.80500E-06,+1.23429671E-03,+4.28718631E-03,+731.90953E-06
-611.75000E-06,+1.23429671E-03,+2.77964864E-03,-147.48744E-06
-611.69500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-611.64000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-611.58500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-611.53000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-611.47500E-06,+1.23429671E-03,+3.40778934E-03,+731.90953E-06
-611.42000E-06,+1.23429671E-03,+4.28718631E-03,-147.48744E-06
-611.36500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-611.31000E-06,+1.23429671E-03,+3.40778934E-03,+1.36005023E-03
-611.25500E-06,+1.23429671E-03,+4.28718631E-03,+1.36005023E-03
-611.20000E-06,+1.23429671E-03,+3.40778934E-03,+1.36005023E-03
-611.14500E-06,+1.23429671E-03,+4.28718631E-03,+1.36005023E-03
-611.09000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-611.03500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-610.98000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-610.92500E-06,+1.23429671E-03,+3.40778934E-03,+1.36005023E-03
-610.87000E-06,+1.23429671E-03,+4.28718631E-03,+1.36005023E-03
-610.81500E-06,+1.23429671E-03,+3.40778934E-03,+1.36005023E-03
-610.76000E-06,+1.23429671E-03,+4.78969887E-03,+1.36005023E-03
-610.70500E-06,+1.23429671E-03,+4.78969887E-03,+1.36005023E-03
-610.65000E-06,+1.23429671E-03,+4.28718631E-03,+1.36005023E-03
-610.59500E-06,+1.23429671E-03,+3.40778934E-03,+1.36005023E-03
-610.54000E-06,+1.23429671E-03,+4.28718631E-03,+1.36005023E-03
-610.48500E-06,+1.23429671E-03,+2.77964864E-03,+1.86256279E-03
-610.43000E-06,+1.23429671E-03,+2.77964864E-03,+3.37010046E-03
-610.37500E-06,+1.86243741E-03,+2.77964864E-03,+2.74195976E-03
-610.32000E-06,+2.74183438E-03,+2.77964864E-03,+1.86256279E-03
-610.26500E-06,+1.23429671E-03,+2.77964864E-03,+2.74195976E-03
-610.21000E-06,+1.23429671E-03,+3.40778934E-03,+1.36005023E-03
-610.15500E-06,+1.23429671E-03,+4.78969887E-03,+1.36005023E-03
-610.10000E-06,+1.23429671E-03,+4.28718631E-03,+1.36005023E-03
-610.04500E-06,+1.23429671E-03,+2.77964864E-03,+1.86256279E-03
-609.99000E-06,+1.23429671E-03,+2.27713608E-03,+2.74195976E-03
-609.93500E-06,+1.23429671E-03,+1.90025166E-03,+1.36005023E-03
-609.88000E-06,+1.23429671E-03,+4.78969887E-03,+1.36005023E-03
-609.82500E-06,+1.23429671E-03,+4.28718631E-03,+1.36005023E-03
-609.77000E-06,+1.23429671E-03,+3.40778934E-03,+1.86256279E-03
-609.71500E-06,+1.23429671E-03,+4.28718631E-03,+3.37010046E-03
-609.66000E-06,+1.23429671E-03,+2.77964864E-03,+2.74195976E-03
-609.60500E-06,+1.23429671E-03,+2.27713608E-03,+1.36005023E-03
-609.55000E-06,+1.23429671E-03,+1.90025166E-03,+1.36005023E-03
-609.49500E-06,+731.78415E-06,+4.28718631E-03,+1.36005023E-03
-609.44000E-06,-775.75352E-06,+2.77964864E-03,+1.86256279E-03
-609.38500E-06,-147.61282E-06,+2.77964864E-03,+3.37010046E-03
-609.33000E-06,+731.78415E-06,+2.27713608E-03,+3.37010046E-03
-609.27500E-06,-147.61282E-06,+1.39773911E-03,+3.37010046E-03
-609.22000E-06,+731.78415E-06,+2.77964864E-03,+2.74195976E-03
-609.16500E-06,-775.75352E-06,+2.77964864E-03,+1.36005023E-03
-609.11000E-06,-147.61282E-06,+3.40778934E-03,+1.36005023E-03
-609.05500E-06,+1.23429671E-03,+4.78969887E-03,+1.36005023E-03
-609.00000E-06,+1.23429671E-03,+4.28718631E-03,+1.36005023E-03
-608.94500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-608.89000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-608.83500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-608.78000E-06,+1.23429671E-03,+2.77964864E-03,+731.90953E-06
-608.72500E-06,+1.23429671E-03,+2.77964864E-03,-147.48744E-06
-608.67000E-06,+731.78415E-06,+2.77964864E-03,+731.90953E-06
-608.61500E-06,-775.75352E-06,+2.77964864E-03,-147.48744E-06
-608.56000E-06,-775.75352E-06,+2.77964864E-03,+731.90953E-06
-608.50500E-06,-147.61282E-06,+2.77964864E-03,-650.00000E-06
-608.45000E-06,+731.78415E-06,+2.77964864E-03,-147.48744E-06
-608.39500E-06,-147.61282E-06,+2.77964864E-03,+731.90953E-06
-608.34000E-06,+1.23429671E-03,+2.77964864E-03,-147.48744E-06
-608.28500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-608.23000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-608.17500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-608.12000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-608.06500E-06,+1.23429671E-03,+3.40778934E-03,+1.36005023E-03
-608.01000E-06,+1.23429671E-03,+4.28718631E-03,+1.36005023E-03
-607.95500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-607.90000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-607.84500E-06,+1.23429671E-03,+2.77964864E-03,+731.90953E-06
-607.79000E-06,+1.86243741E-03,+2.77964864E-03,-147.48744E-06
-607.73500E-06,+2.74183438E-03,+2.77964864E-03,+1.36005023E-03
-607.68000E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-607.62500E-06,+1.23429671E-03,+2.77964864E-03,+1.36005023E-03
-607.57000E-06,+1.86243741E-03,+2.77964864E-03,+1.36005023E-03
-607.51500E-06,+2.74183438E-03,+2.77964864E-03,+1.36005023E-03
-607.46000E-06,+1.23429671E-03,+3.40778934E-03,+1.36005023E-03
-607.40500E-06,+1.23429671E-03,+4.28718631E-03,+1.86256279E-03
-607.35000E-06,+1.23429671E-03,+2.27713608E-03,+2.74195976E-03
-607.29500E-06,+1.23429671E-03,+1.39773911E-03,+1.36005023E-03
