x-axis,1,2,4
second,Volt,Volt,Volt
-435.00000E-06,,,
-434.94500E-06,,,
-434.89000E-06,,,
-434.83500E-06,,,
-434.78000E-06,,,
-434.72500E-06,,,
-434.67000E-06,,,
-434.61500E-06,,,
-434.56000E-06,,,
-434.50500E-06,,,
-434.45000E-06,,,
-434.39500E-06,,,
-434.34000E-06,,,
-434.28500E-06,,,
-434.23000E-06,,,
-434.17500E-06,,,
-434.12000E-06,,,
-434.06500E-06,,,
-434.01000E-06,,,
-433.95500E-06,,,
-433.90000E-06,,,
-433.84500E-06,,,
-433.79000E-06,,,
-433.73500E-06,,,
-433.68000E-06,,,
-433.62500E-06,,,
-433.57000E-06,,,
-433.51500E-06,,,
-433.46000E-06,,,
-433.40500E-06,,,
-433.35000E-06,,,
-433.29500E-06,,,
-433.24000E-06,,,
-433.18500E-06,,,
-433.13000E-06,-3.92889464E-03,-3.29748727E-03,+12.90276274E-03
-433.07500E-06,-3.92889464E-03,-3.29748727E-03,+12.90276274E-03
-433.02000E-06,-4.72035192E-03,-3.29748727E-03,+12.90276274E-03
-432.96500E-06,-4.03442228E-03,-3.29748727E-03,+12.90276274E-03
-432.91000E-06,-3.92889464E-03,-3.29748727E-03,+12.90276274E-03
-432.85500E-06,-3.92889464E-03,-3.29748727E-03,+12.90276274E-03
-432.80000E-06,-3.92889464E-03,-3.29748727E-03,+12.90276274E-03
-432.74500E-06,-3.92889464E-03,-3.29748727E-03,+12.90276274E-03
-432.69000E-06,-3.92889464E-03,-2.73467321E-03,+13.25452153E-03
-432.63500E-06,-3.19020118E-03,-2.65427120E-03,+12.55100395E-03
-432.58000E-06,-3.87613082E-03,-3.25728627E-03,+12.50075269E-03
-432.52500E-06,-3.92889464E-03,-3.29748727E-03,+12.50075269E-03
-432.47000E-06,-3.92889464E-03,-3.29748727E-03,+12.85251149E-03
-432.41500E-06,-4.72035192E-03,-3.90050234E-03,+12.90276274E-03
-432.36000E-06,-3.24296500E-03,-3.94070335E-03,+12.90276274E-03
-432.30500E-06,-4.66758810E-03,-3.37788928E-03,+12.90276274E-03
-432.25000E-06,-5.56457302E-03,-3.29748727E-03,+13.25452153E-03
-432.19500E-06,-4.08718610E-03,-3.29748727E-03,+12.55100395E-03
-432.14000E-06,-3.19020118E-03,-3.29748727E-03,+12.85251149E-03
-432.08500E-06,-3.87613082E-03,-3.29748727E-03,+12.90276274E-03
-432.03000E-06,-4.72035192E-03,-3.29748727E-03,+12.52587832E-03
-431.97500E-06,-4.77311574E-03,-3.29748727E-03,+12.85251149E-03
-431.92000E-06,-4.77311574E-03,-3.90050234E-03,+12.52587832E-03
-431.86500E-06,-4.77311574E-03,-3.94070335E-03,+12.85251149E-03
-431.81000E-06,-4.03442228E-03,-3.37788928E-03,+12.90276274E-03
