pretension_N,n_files_used,velocity_mean,velocity_std
3.0,2,199.62631851267906,13.755332785635938
4.0,5,199.0800037924528,1.8223817249168075
5.0,4,196.8768237041131,3.158643349444291
6.0,5,198.81165019757782,3.9707472876890377
7.0,5,201.88070009155913,0.7863245422950033
8.0,5,203.22032727806192,3.4486028963756716
9.0,4,207.518743817757,5.673737925396027
10.0,5,210.38683765030686,4.359449740445849
11.0,5,212.93723396042546,2.6868843326485776
12.0,5,216.84059747241264,2.4154146771176492
13.0,5,218.4435673649432,1.4980272865078577
14.0,3,225.69049259777998,0.4718321995444326
