angle_deg,pretension_N,mass_g,n,mean_velocity,std_velocity,mean_peak_accel,std_peak_accel,sem_velocity,sem_peak_accel
45.0,0.7848,80.0,10,84.32649564094226,0.48914560050390055,417.96947535875444,38.715443629775045,0.15468142050431313,12.242898249394582
45.0,1.3734000000000002,140.0,12,83.36804422829958,0.7416561327813433,293.9604689226374,34.970352661145796,0.21409768395372272,10.095071261284335
45.0,1.9620000000000002,200.0,11,84.76533806692804,2.3738098056291443,303.9178999268724,17.506219028358014,0.715730586267123,5.278323637713056
60.0,0.7848,80.0,11,86.32653092228776,0.8383317007854771,665.8642104352022,52.34589072635287,0.2527665183059926,15.782879896023342
60.0,1.3734000000000002,140.0,12,87.65491885934274,2.8481638811665215,506.5024476987589,52.72907171844544,0.8221940917438303,15.22157187538178
60.0,1.9620000000000002,200.0,11,87.76764348875882,2.7293758245610142,514.4508845030372,75.42372749290021,0.8229377747214337,22.74110948945118
90.0,0.7848,80.0,10,89.37059203521959,1.1002731968977002,1130.7035107692366,47.62624576335768,0.34793693506316414,15.06074130151549
90.0,1.3734000000000002,140.0,12,93.03958244157558,1.7246369002166593,1014.7298896311859,24.864877081494708,0.497859789297225,7.177871738183963
90.0,1.9620000000000002,200.0,12,94.53404075637525,1.5173168776978043,869.8891235176283,29.34546492096903,0.43801165389239494,8.471306035808094
105.0,0.7848,80.0,10,92.5901832517627,1.2182265329333817,1210.355578133742,76.56798156594735,0.3852370550119611,24.212921759017956
105.0,1.3734000000000002,140.0,10,94.24557419081347,0.9066806670747753,1267.7355524481486,30.957409592826632,0.28671760183971257,9.789592477207794
105.0,1.9620000000000002,200.0,11,95.47630380198221,1.6836187813999177,1147.9840885853193,29.353922462096264,0.5076301625362651,8.850540630178063
120.0,0.7848,80.0,11,92.8333571607011,1.0759452309056425,1502.5606301885675,72.97606666002741,0.32440969326239266,22.003111980661373
120.0,1.3734000000000002,140.0,10,92.1180299066621,1.8629131673442447,1519.5806817614855,56.09041260423746,0.5891048691926223,17.7373458728007
120.0,1.9620000000000002,200.0,12,94.19208197632666,2.024304036885994,1431.6060607369575,40.20391609270504,0.5843662403088875,11.605870889300192
135.0,0.7848,80.0,14,92.7578235002638,1.1040052617421738,1648.9644382178558,77.01605589256829,0.2950578173310645,20.583406745044492
135.0,1.3734000000000002,140.0,13,91.89776265609686,0.6744464120793378,1606.170008051815,68.46895436102766,0.1870577785619052,18.98987120969915
135.0,1.9620000000000002,200.0,10,94.09737124785423,1.5986919082207063,1607.8007846675869,50.356627433976385,0.5055507706858297,15.924163797588566
150.0,0.7848,80.0,11,92.10775073721187,0.9264975298345458,1833.390158433812,33.45694336407811,0.2793495159683906,10.087647979165276
150.0,1.3734000000000002,140.0,13,92.89536816224118,0.9815353882992786,1691.2414228989978,96.24594786303557,0.27222893624580813,26.693823082754502
150.0,1.9620000000000002,200.0,13,93.7296605912523,2.370979953263306,1747.8887796832548,58.37868981804014,0.6575915226606202,16.191335348719324
