angle_deg,angle_folder,mass_g,pretension_N,file,file_path,velocity_mps,peak_accel_mps2,dt_s
45.0,45 deg soliton data,80.0,0.7848,80g_20260513-180359.h5,soliton experiments\soliton exp 5_13\45 deg soliton data\80g_20260513-180359.h5,83.95387149917627,366.3699911441529,2e-07
45.0,45 deg soliton data,80.0,0.7848,80g_20260513-180402.h5,soliton experiments\soliton exp 5_13\45 deg soliton data\80g_20260513-180402.h5,84.10351201478743,371.76841056114876,2e-07
45.0,45 deg soliton data,80.0,0.7848,80g_20260513-180404.h5,soliton experiments\soliton exp 5_13\45 deg soliton data\80g_20260513-180404.h5,84.19800409754808,432.98234675117146,2e-07
45.0,45 deg soliton data,80.0,0.7848,80g_20260513-180407.h5,soliton experiments\soliton exp 5_13\45 deg soliton data\80g_20260513-180407.h5,83.71115053551482,436.98153654431263,2e-07
45.0,45 deg soliton data,80.0,0.7848,80g_20260513-180410.h5,soliton experiments\soliton exp 5_13\45 deg soliton data\80g_20260513-180410.h5,84.83153549074443,454.17360723637705,2e-07
45.0,45 deg soliton data,80.0,0.7848,80g_20260513-180413.h5,soliton experiments\soliton exp 5_13\45 deg soliton data\80g_20260513-180413.h5,84.6286701208981,445.5300019164057,2e-07
60.0,60 deg soliton data,140.0,1.3734000000000002,140g_20260519-211518.h5,soliton experiments\soliton exp 5_13\60 deg soliton data\140g_20260519-211518.h5,94.00132811923558,571.6485622775232,2e-07
60.0,60 deg soliton data,140.0,1.3734000000000002,140g_20260519-211526.h5,soliton experiments\soliton exp 5_13\60 deg soliton data\140g_20260519-211526.h5,92.76924197189251,551.8882715447425,2e-07
60.0,60 deg soliton data,140.0,1.3734000000000002,140g_20260519-211530.h5,soliton experiments\soliton exp 5_13\60 deg soliton data\140g_20260519-211530.h5,88.78667502961878,542.7605809359382,2e-07
60.0,60 deg soliton data,140.0,1.3734000000000002,140g_20260519-211533.h5,soliton experiments\soliton exp 5_13\60 deg soliton data\140g_20260519-211533.h5,87.1111111111111,521.4293489876294,2e-07
60.0,60 deg soliton data,140.0,1.3734000000000002,140g_20260519-211536.h5,soliton experiments\soliton exp 5_13\60 deg soliton data\140g_20260519-211536.h5,86.19756427604871,489.2067206754729,2e-07
60.0,60 deg soliton data,140.0,1.3734000000000002,140g_20260519-211540.h5,soliton experiments\soliton exp 5_13\60 deg soliton data\140g_20260519-211540.h5,86.17424242424242,513.3442044170821,2e-07
60.0,60 deg soliton data,140.0,1.3734000000000002,140g_20260519-211544.h5,soliton experiments\soliton exp 5_13\60 deg soliton data\140g_20260519-211544.h5,87.30213115877474,550.0112794453131,2e-07
60.0,60 deg soliton data,140.0,1.3734000000000002,140g_20260519-211548.h5,soliton experiments\soliton exp 5_13\60 deg soliton data\140g_20260519-211548.h5,86.73156783988017,538.3225067232584,2e-07
60.0,60 deg soliton data,140.0,1.3734000000000002,140g_20260519-211552.h5,soliton experiments\soliton exp 5_13\60 deg soliton data\140g_20260519-211552.h5,85.17181441369166,398.1409322766239,2e-07
60.0,60 deg soliton data,140.0,1.3734000000000002,140g_20260519-211556.h5,soliton experiments\soliton exp 5_13\60 deg soliton data\140g_20260519-211556.h5,86.24424587056593,510.12961890001577,2e-07
60.0,60 deg soliton data,140.0,1.3734000000000002,140g_20260519-211559.h5,soliton experiments\soliton exp 5_13\60 deg soliton data\140g_20260519-211559.h5,85.75082452715891,458.04482461724376,2e-07
60.0,60 deg soliton data,140.0,1.3734000000000002,140g_20260519-211601.h5,soliton experiments\soliton exp 5_13\60 deg soliton data\140g_20260519-211601.h5,85.61827956989247,433.10252158426357,2e-07
60.0,60 deg soliton data,200.0,1.9620000000000002,200g_20260519-212243.h5,soliton experiments\soliton exp 5_13\60 deg soliton data\200g_20260519-212243.h5,86.48428484149072,554.5179161467238,2e-07
60.0,60 deg soliton data,200.0,1.9620000000000002,200g_20260519-212246.h5,soliton experiments\soliton exp 5_13\60 deg soliton data\200g_20260519-212246.h5,84.92201039861351,419.8448933384221,2e-07
60.0,60 deg soliton data,200.0,1.9620000000000002,200g_20260519-212249.h5,soliton experiments\soliton exp 5_13\60 deg soliton data\200g_20260519-212249.h5,86.7197603975223,445.50868445011815,2e-07
60.0,60 deg soliton data,200.0,1.9620000000000002,200g_20260519-212252.h5,soliton experiments\soliton exp 5_13\60 deg soliton data\200g_20260519-212252.h5,87.89237668161435,531.5125805759199,2e-07
60.0,60 deg soliton data,200.0,1.9620000000000002,200g_20260519-212254.h5,soliton experiments\soliton exp 5_13\60 deg soliton data\200g_20260519-212254.h5,87.91663791318749,544.2156835334912,2e-07
60.0,60 deg soliton data,200.0,1.9620000000000002,200g_20260519-212257.h5,soliton experiments\soliton exp 5_13\60 deg soliton data\200g_20260519-212257.h5,92.61413201512066,534.0229913232553,2e-07
60.0,60 deg soliton data,200.0,1.9620000000000002,200g_20260519-212300.h5,soliton experiments\soliton exp 5_13\60 deg soliton data\200g_20260519-212300.h5,88.10511756569846,556.4589439660832,2e-07
60.0,60 deg soliton data,200.0,1.9620000000000002,200g_20260519-212302.h5,soliton experiments\soliton exp 5_13\60 deg soliton data\200g_20260519-212302.h5,93.01306855515806,596.7524544479405,2e-07
60.0,60 deg soliton data,200.0,1.9620000000000002,200g_20260519-212305.h5,soliton experiments\soliton exp 5_13\60 deg soliton data\200g_20260519-212305.h5,84.9616538846282,354.64861717498275,2e-07
60.0,60 deg soliton data,200.0,1.9620000000000002,200g_20260519-212309.h5,soliton experiments\soliton exp 5_13\60 deg soliton data\200g_20260519-212309.h5,85.72774375883183,531.941663743043,2e-07
