pretension_N,n_files_used,velocity_mean,velocity_std
3.0,5,187.37926460210252,12.704090864626377
4.0,5,197.9301969840802,2.567484641177951
5.0,4,194.00772303693577,3.15390903529705
6.0,8,192.52886269022792,9.78853758517775
7.0,5,200.11901346855151,1.2225299090344846
8.0,9,196.98980754524482,10.491342933742693
9.0,4,208.19788791029202,6.375032254796147
10.0,8,203.44715855382822,10.423684255076505
11.0,5,211.4165170621547,2.8266133264944444
12.0,8,208.9408045822898,13.12718424048957
13.0,5,218.56798665951493,2.37457047573953
14.0,5,212.9731340184846,14.884745279161034
