pretension_N,csv_path,velocity,u_velocity,delta_t_s,u_delta_t_s,t1_mean_s,t1_std_s,t2_mean_s,t2_std_s
3.0,.\1D chain tension changing exp\3n\scope_10.csv,177.16121243175922,2.9980271914161034,0.0008128190026666666,1.3743419044417171e-05,0.00113016289,2.4359970033231696e-06,0.0019429818926666666,1.3525808132242935e-05
4.0,.\1D chain tension changing exp\4N\scope_10.csv,179.9651849851097,1.0646697828441587,0.0008001547633333334,4.70097041320014e-06,0.0010343848166666668,3.4043084540671656e-06,0.0018345395800000001,3.2418832143292757e-06
5.0,.\1D chain tension changing exp\5N\scope_1.csv,181.76412389783366,1.8758905976969396,0.0007922355463333337,8.157709891213172e-06,0.0011020502219999998,5.410089199931944e-06,0.0018942857683333335,6.105666672688329e-06
6.0,.\1D chain tension changing exp\6N\scope_14.csv,182.2927650353008,1.7836233657132277,0.0007899380974999998,7.709569991317637e-06,0.00104871276,6.479951624721714e-06,0.0018386508574999999,4.177043977778046e-06
8.0,.\1D chain tension changing exp\8N\scope_08.csv,191.79163044899101,3.199546622890661,0.0007508148278571431,1.2514543890944353e-05,0.00103984485,0.0,0.001790659677857143,1.2514543890944353e-05
9.0,.\1D chain tension changing exp\9N\scope_0.csv,175.83650289695905,1.8118536950497086,0.00081894258375,8.419358722582578e-06,0.00101549137,3.4113340230912654e-06,0.0018344339537499999,7.69729832359558e-06
10.0,.\1D chain tension changing exp\10N\scope_12.csv,184.92248960203875,2.781138754559999,0.00077870463625,1.1698824071068518e-05,0.00097844385875,9.177980297834638e-06,0.001757148495,7.254458098188409e-06
12.0,.\1D chain tension changing exp\12N\scope_12.csv,188.10543357324582,1.7534768592015728,0.0007655281257142859,7.1162528132317234e-06,0.00100409464,0.0,0.0017696227657142858,7.1162528132317234e-06
14.0,.\1D chain tension changing exp\14N\scope_14.csv,193.28134294282358,1.194075767141669,0.0007450279359999998,4.573548306356895e-06,0.0010331173100000001,1.057124637873897e-06,0.001778145246,4.4497001708632015e-06
