x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-1.140000E-03,-20.716077E-03,-13.505023E-03,-147.673395E-03,+59.038940E-03
-1.139900E-03,-16.695976E-03,-13.505023E-03,-147.673395E-03,+58.033915E-03
-1.139800E-03,-21.218589E-03,-13.505023E-03,-147.673395E-03,+59.038940E-03
-1.139700E-03,-20.716077E-03,-13.505023E-03,-147.673395E-03,+59.038940E-03
-1.139600E-03,-21.218589E-03,-8.982410E-03,-147.673395E-03,+59.038940E-03
-1.139500E-03,-24.736177E-03,-9.484923E-03,-147.673395E-03,+60.043965E-03
-1.139400E-03,-24.736177E-03,-13.505023E-03,-147.673395E-03,+60.043965E-03
-1.139300E-03,-24.736177E-03,-13.505023E-03,-147.673395E-03,+58.913312E-03
-1.139200E-03,-20.716077E-03,-8.982410E-03,-147.673395E-03,+58.033915E-03
-1.139100E-03,-21.218589E-03,-5.464822E-03,-147.673395E-03,+59.038940E-03
-1.139000E-03,-24.736177E-03,-9.484923E-03,-167.773897E-03,+58.913312E-03
-1.138900E-03,-20.716077E-03,-13.505023E-03,-165.261334E-03,+59.038940E-03
-1.138800E-03,-21.218589E-03,-13.505023E-03,-147.673395E-03,+60.043965E-03
-1.138700E-03,-20.716077E-03,-13.505023E-03,-147.673395E-03,+58.913312E-03
-1.138600E-03,-16.695976E-03,-13.505023E-03,-147.673395E-03,+59.038940E-03
-1.138500E-03,-16.695976E-03,-13.505023E-03,-147.673395E-03,+58.913312E-03
-1.138400E-03,-21.218589E-03,-13.505023E-03,-147.673395E-03,+58.033915E-03
-1.138300E-03,-24.736177E-03,-13.505023E-03,-147.673395E-03,+58.033915E-03
-1.138200E-03,-20.716077E-03,-13.505023E-03,-147.673395E-03,+58.033915E-03
-1.138100E-03,-16.695976E-03,-13.505023E-03,-147.673395E-03,+59.038940E-03
-1.138000E-03,-21.218589E-03,-13.505023E-03,-147.673395E-03,+58.913312E-03
-1.137900E-03,-20.716077E-03,-13.505023E-03,-147.673395E-03,+58.033915E-03
-1.137800E-03,-21.218589E-03,-13.505023E-03,-147.673395E-03,+58.033915E-03
-1.137700E-03,-24.736177E-03,-13.505023E-03,-147.673395E-03,+58.033915E-03
-1.137600E-03,-20.716077E-03,-8.982410E-03,-147.673395E-03,+58.033915E-03
-1.137500E-03,-16.695976E-03,-9.484923E-03,-147.673395E-03,+58.033915E-03
-1.137400E-03,-16.695976E-03,-13.505023E-03,-147.673395E-03,+59.038940E-03
-1.137300E-03,-16.695976E-03,-13.505023E-03,-147.673395E-03,+60.043965E-03
-1.137200E-03,-21.218589E-03,-13.505023E-03,-147.673395E-03,+60.043965E-03
-1.137100E-03,-24.736177E-03,-13.505023E-03,-147.673395E-03,+58.913312E-03
-1.137000E-03,-20.716077E-03,-13.505023E-03,-147.673395E-03,+59.038940E-03
-1.136900E-03,-16.695976E-03,-13.505023E-03,-147.673395E-03,+58.913312E-03
-1.136800E-03,-21.218589E-03,-13.505023E-03,-147.673395E-03,+58.033915E-03
-1.136700E-03,-20.716077E-03,-13.505023E-03,-147.673395E-03,+58.033915E-03
-1.136600E-03,-21.218589E-03,-13.505023E-03,-147.673395E-03,+58.033915E-03
-1.136500E-03,-20.716077E-03,-13.505023E-03,-147.673395E-03,+58.033915E-03
-1.136400E-03,-16.695976E-03,-13.505023E-03,-147.673395E-03,+59.038940E-03
-1.136300E-03,-21.218589E-03,-13.505023E-03,-147.673395E-03,+58.913312E-03
-1.136200E-03,-20.716077E-03,-13.505023E-03,-147.673395E-03,+58.033915E-03
-1.136100E-03,-21.218589E-03,-13.505023E-03,-147.673395E-03,+59.038940E-03
-1.136000E-03,-20.716077E-03,-13.505023E-03,-147.673395E-03,+58.913312E-03
-1.135900E-03,-21.218589E-03,-13.505023E-03,-147.673395E-03,+59.038940E-03
-1.135800E-03,-24.736177E-03,-13.505023E-03,-147.673395E-03,+60.043965E-03
-1.135700E-03,-24.736177E-03,-8.982410E-03,-147.673395E-03,+60.043965E-03
