angle_deg,angle_folder,mass_g,pretension_N,file,file_path,velocity_mps,peak_accel_mps2,fwhm_s1_s,fwhm_s2_s,dt_s
135.0,135 deg,200.0,1.9620000000000002,200g_20260620-162338.h5,soliton experiments\soliton exp 6_20 farther sensors\135 deg\200g_20260620-162338.h5,94.15926439301084,1365.0652042671327,0.0005403781802193514,0.0005694094085833194,2e-07
135.0,135 deg,200.0,1.9620000000000002,200g_20260620-162342.h5,soliton experiments\soliton exp 6_20 farther sensors\135 deg\200g_20260620-162342.h5,94.19280861553236,1410.6346741914272,0.0005224194667454922,0.0005579720489530598,2e-07
135.0,135 deg,200.0,1.9620000000000002,200g_20260620-162345.h5,soliton experiments\soliton exp 6_20 farther sensors\135 deg\200g_20260620-162345.h5,93.25729179295391,1159.628150701536,0.0005247972341465162,0.0005730485458947483,2e-07
135.0,135 deg,200.0,1.9620000000000002,200g_20260620-162351.h5,soliton experiments\soliton exp 6_20 farther sensors\135 deg\200g_20260620-162351.h5,93.86975785916695,1320.9536915586295,0.0005304195655172385,0.0005632917696608247,2e-07
135.0,135 deg,200.0,1.9620000000000002,200g_20260620-162354.h5,soliton experiments\soliton exp 6_20 farther sensors\135 deg\200g_20260620-162354.h5,93.93011265815724,1340.4790780629946,0.0005063999855688713,0.0005569347849057496,2e-07
135.0,135 deg,200.0,1.9620000000000002,200g_20260620-162356.h5,soliton experiments\soliton exp 6_20 farther sensors\135 deg\200g_20260620-162356.h5,93.46762327475618,1358.3507211424524,0.0005283264864894869,0.0005564545820428883,2e-07
135.0,135 deg,200.0,1.9620000000000002,200g_20260620-162359.h5,soliton experiments\soliton exp 6_20 farther sensors\135 deg\200g_20260620-162359.h5,93.18538298152089,1493.0315916540558,0.0005431234794318537,0.0005492582980103108,2e-07
135.0,135 deg,200.0,1.9620000000000002,200g_20260620-162402.h5,soliton experiments\soliton exp 6_20 farther sensors\135 deg\200g_20260620-162402.h5,92.96096835310829,1388.8333125792728,0.0005440682820258253,0.0005506915674170542,2e-07
135.0,135 deg,200.0,1.9620000000000002,200g_20260620-162405.h5,soliton experiments\soliton exp 6_20 farther sensors\135 deg\200g_20260620-162405.h5,92.99373164915013,1404.2579691080166,0.0005445754524745928,0.0005527173265026048,2e-07
135.0,135 deg,200.0,1.9620000000000002,200g_20260620-162408.h5,soliton experiments\soliton exp 6_20 farther sensors\135 deg\200g_20260620-162408.h5,92.84007152127542,1389.0550128852676,0.0005476973943436896,0.0005502513257843039,2e-07
135.0,135 deg,200.0,1.9620000000000002,200g_20260620-162411.h5,soliton experiments\soliton exp 6_20 farther sensors\135 deg\200g_20260620-162411.h5,92.81167880283314,1378.0055662491618,0.0005484328064600604,0.0005524084198399153,2e-07
135.0,135 deg,200.0,1.9620000000000002,200g_20260620-162414.h5,soliton experiments\soliton exp 6_20 farther sensors\135 deg\200g_20260620-162414.h5,93.00902127817096,1494.4733795751995,0.0005474896257328243,0.0005523509390185978,2e-07
150.0,150 deg 4V,200.0,1.9620000000000002,200g_20260620-155645.h5,soliton experiments\soliton exp 6_20 farther sensors\150 deg 4V\200g_20260620-155645.h5,95.00371437246476,1913.2450775159496,0.0005422563049291826,0.0004774598596410228,2e-07
150.0,150 deg 4V,200.0,1.9620000000000002,200g_20260620-155658.h5,soliton experiments\soliton exp 6_20 farther sensors\150 deg 4V\200g_20260620-155658.h5,93.84440176076683,2011.1011186491369,0.00047203715183567383,0.0005203731095620905,2e-07
150.0,150 deg 4V,200.0,1.9620000000000002,200g_20260620-155702.h5,soliton experiments\soliton exp 6_20 farther sensors\150 deg 4V\200g_20260620-155702.h5,94.26370132220461,1862.7941802605085,0.0004951604316506214,0.000531163216389915,2e-07
150.0,150 deg 4V,200.0,1.9620000000000002,200g_20260620-155706.h5,soliton experiments\soliton exp 6_20 farther sensors\150 deg 4V\200g_20260620-155706.h5,94.77535727642743,1968.235445288463,0.0004924374650211437,0.0005310283329544897,2e-07
150.0,150 deg 4V,200.0,1.9620000000000002,200g_20260620-155710.h5,soliton experiments\soliton exp 6_20 farther sensors\150 deg 4V\200g_20260620-155710.h5,95.59974509734322,1834.097393829526,0.0005078814134270123,0.00048606942957803113,2e-07
150.0,150 deg 4V,200.0,1.9620000000000002,200g_20260620-155714.h5,soliton experiments\soliton exp 6_20 farther sensors\150 deg 4V\200g_20260620-155714.h5,93.84802368395847,1986.3169824219947,0.00051075032715547,0.0005304120893117885,2e-07
150.0,150 deg 4V,200.0,1.9620000000000002,200g_20260620-155718.h5,soliton experiments\soliton exp 6_20 farther sensors\150 deg 4V\200g_20260620-155718.h5,95.86707895336423,1651.5010060246743,0.0005079855821734348,0.0005243443184257779,2e-07
150.0,150 deg 4V,200.0,1.9620000000000002,200g_20260620-155722.h5,soliton experiments\soliton exp 6_20 farther sensors\150 deg 4V\200g_20260620-155722.h5,94.66329341609023,1880.388680437305,0.0005146870510085989,0.0005199527049146615,2e-07
150.0,150 deg 4V,200.0,1.9620000000000002,200g_20260620-155725.h5,soliton experiments\soliton exp 6_20 farther sensors\150 deg 4V\200g_20260620-155725.h5,94.55917966160395,1887.8416980263205,0.0005235344689377747,0.0005360132870559781,2e-07
150.0,150 deg 4V,200.0,1.9620000000000002,200g_20260620-155729.h5,soliton experiments\soliton exp 6_20 farther sensors\150 deg 4V\200g_20260620-155729.h5,94.46942185513392,1861.2543176368636,0.0004848592079805642,0.0005375805768474684,2e-07
150.0,150 deg 4V,200.0,1.9620000000000002,200g_20260620-155733.h5,soliton experiments\soliton exp 6_20 farther sensors\150 deg 4V\200g_20260620-155733.h5,95.86295870423665,1837.4111607680652,0.0005373753189658347,0.0004998835151275166,2e-07
150.0,150 deg 4V,200.0,1.9620000000000002,200g_20260620-155738.h5,soliton experiments\soliton exp 6_20 farther sensors\150 deg 4V\200g_20260620-155738.h5,93.59342576082831,1921.6383633570113,0.0005284786859634376,0.0005473762605344942,2e-07
150.0,150 deg 4V,200.0,1.9620000000000002,200g_20260620-155742.h5,soliton experiments\soliton exp 6_20 farther sensors\150 deg 4V\200g_20260620-155742.h5,93.92177040354935,1874.080357191327,0.0005264623540486644,0.0005409330395597187,2e-07
