angle_deg,pretension_N,mass_g,n,mean_velocity,std_velocity,mean_peak_accel,std_peak_accel,mean_fwhm_s1_s,std_fwhm_s1_s,mean_fwhm_s2_s,std_fwhm_s2_s,sem_velocity,sem_peak_accel,sem_fwhm_s1_s,sem_fwhm_s2_s
90.0,1.9620000000000002,200.0,10,92.25653749615512,0.23883032811671712,841.6043893972404,74.00554912248779,0.0005740337568958804,1.3861620191363002e-05,0.0006107756808392824,9.89471506145293e-06,0.07552478111741785,23.402609471853673,4.383429186488615e-06,3.128983639256419e-06
135.0,1.9620000000000002,200.0,25,93.28672605324971,1.107922043096737,1383.0238783416269,123.93363400543078,0.0005423721775181251,1.1910201743005122e-05,0.0005550334355628769,1.8916016624973594e-05,0.2215844086193474,24.786726801086154,2.3820403486010246e-06,3.783203324994719e-06
150.0,1.9620000000000002,200.0,13,94.63631325138246,0.7703917285466237,1883.8389062620881,89.34972382564578,0.0005110696740844164,2.0823916260274484e-05,0.0005217376723002272,2.131741866379613e-05,0.21366822149755282,24.781154669377873,5.7755152178759986e-06,5.9123881579115375e-06
